Date;Ouverture;Plus_Haut;Plus_Bas;Cloture;Volume_Titres;Volume_FCFA;Variation_Pct
2025-11-07;700;700;700;700;0;0,0;
2026-01-02;750;750;750;750;135518;101638500,0;7,14
2026-01-05;805;805;805;805;6485;5220425,0;7,33
2026-01-06;865;865;865;865;10100;8736500,0;7,45
2026-01-07;925;925;925;925;14770;13662250,0;6,94
2026-01-08;990;990;990;990;5412;5357880,0;7,03
2026-01-09;1060;1060;1060;1060;14294;15151640,0;7,07
2026-01-12;1135;1135;1135;1135;6205;7042675,0;7,08
2026-01-13;1220;1220;1100;1100;122930;142598800,0;-3,08
2026-01-14;1080;1135;1080;1135;27273;30204848,0;3,18
2026-01-15;1220;1220;1220;1220;5884;7178480,0;7,49
2026-01-16;1310;1310;1310;1310;6904;9044240,0;7,38
2026-01-19;1400;1400;1395;1395;29688;41488980,0;6,49
2026-01-20;1400;1400;1300;1300;15588;21043800,0;-6,81
2026-01-21;1300;1310;1300;1310;11733;15311565,0;0,77
2026-01-22;1315;1315;1310;1310;11299;14829938,0;0,0
2026-01-23;1340;1340;1310;1310;6180;8188500,0;0,0
2026-01-26;1305;1315;1305;1315;8959;11736290,0;0,38
2026-01-27;1340;1345;1340;1345;4575;6141938,0;2,28
2026-01-28;1360;1380;1360;1380;6734;9225580,0;2,6
2026-01-29;1390;1480;1390;1480;44844;64351140,0;7,25
2026-01-30;1590;1590;1590;1590;1436;2283240,0;7,43
2026-02-02;1700;1705;1700;1705;25386;43219665,0;7,23
2026-02-03;1720;1785;1720;1785;20069;35170922,0;4,69
2026-02-04;1910;1915;1910;1915;11420;21840750,0;7,28
2026-02-05;2055;2055;2055;2055;9619;19767045,0;7,31
2026-02-06;2200;2205;2200;2205;13601;29956202,0;7,3
2026-02-09;2370;2370;2355;2355;13503;31900838,0;6,8
2026-02-10;2410;2530;2410;2530;24409;60290230,0;7,43
2026-02-11;2715;2715;2715;2715;9360;25412400,0;7,31
2026-02-12;2900;2900;2515;2515;19716;53381070,0;-7,37
2026-02-13;2330;2330;2330;2330;10792;25145360,0;-7,36
2026-02-16;2160;2160;2160;2160;19190;41450400,0;-7,3
2026-02-17;2320;2320;2320;2320;18952;43968640,0;7,41
2026-02-18;2490;2490;2490;2490;24410;60780900,0;7,33
2026-02-19;2675;2675;2565;2565;23302;61051240,0;3,01
2026-02-20;2675;2675;2650;2650;11230;29899875,0;3,31
2026-02-23;2650;2650;2455;2455;20096;51295040,0;-7,36
2026-02-24;2465;2500;2465;2500;18242;45285765,0;1,83
2026-02-25;2500;2500;2415;2415;13194;32424255,0;-3,4
2026-02-26;2415;2415;2385;2385;9228;22147200,0;-1,24
2026-02-27;2385;2385;2325;2325;16615;39128325,0;-2,52
2026-03-02;2325;2325;2215;2215;7310;16593700,0;-4,73
2026-03-03;2130;2130;2050;2050;12189;25475010,0;-7,45
2026-03-04;2005;2005;2000;2000;14837;29711092,0;-2,44
2026-03-05;2050;2150;2050;2150;10981;23060100,0;7,5
2026-03-06;2310;2310;2250;2250;12727;29017560,0;4,65
2026-03-09;2255;2255;2200;2200;4214;9386685,0;-2,22
2026-03-10;2180;2180;2135;2135;4309;9296668,0;-2,95
2026-03-11;2130;2130;2010;2010;13502;27949140,0;-5,85
2026-03-12;2040;2040;2000;2000;4846;9788920,0;-0,5
2026-03-13;2000;2000;1995;1995;3366;6723585,0;-0,25
2026-03-16;2000;2000;1995;1995;3366;6723585,0;0,0
